加賀市(石川県),,,,,,
緯度:36.3028° 経度:136.3150° 標高: 0.0 m 標準時:UT+9h,,,,,,
年月日,出,方位[°],南中,高度[°],入り,方位[°]
2022/1/1,7:06,118.3,11:58:06,30.7,16:50,241.7
2022/1/2,7:06,118.2,11:58:34,30.8,16:51,241.8
2022/1/3,7:06,118.1,11:59:02,30.9,16:52,242
2022/1/4,7:06,118,11:59:30,31,16:53,242.1
2022/1/5,7:06,117.8,11:59:57,31.1,16:54,242.2
2022/1/6,7:06,117.7,12:00:24,31.2,16:54,242.4
2022/1/7,7:06,117.5,12:00:50,31.3,16:55,242.5
2022/1/8,7:06,117.4,12:01:16,31.5,16:56,242.7
2022/1/9,7:06,117.2,12:01:41,31.6,16:57,242.9
2022/1/10,7:06,117,12:02:06,31.7,16:58,243.1
2022/1/11,7:06,116.8,12:02:30,31.9,16:59,243.3
2022/1/12,7:06,116.6,12:02:53,32.1,17:00,243.5
2022/1/13,7:06,116.4,12:03:16,32.2,17:01,243.7
2022/1/14,7:06,116.2,12:03:38,32.4,17:02,243.9
2022/1/15,7:05,115.9,12:04:00,32.6,17:03,244.2
2022/1/16,7:05,115.7,12:04:21,32.8,17:04,244.4
2022/1/17,7:05,115.5,12:04:41,33,17:05,244.6
2022/1/18,7:04,115.2,12:05:00,33.2,17:06,244.9
2022/1/19,7:04,114.9,12:05:19,33.4,17:07,245.2
2022/1/20,7:04,114.7,12:05:37,33.6,17:08,245.4
2022/1/21,7:03,114.4,12:05:54,33.8,17:09,245.7
2022/1/22,7:03,114.1,12:06:11,34,17:10,246
2022/1/23,7:02,113.8,12:06:27,34.2,17:11,246.3
2022/1/24,7:02,113.5,12:06:42,34.5,17:12,246.6
2022/1/25,7:01,113.2,12:06:56,34.7,17:13,246.9
2022/1/26,7:00,112.9,12:07:09,35,17:14,247.3
2022/1/27,7:00,112.6,12:07:22,35.2,17:15,247.6
2022/1/28,6:59,112.2,12:07:34,35.5,17:16,247.9
2022/1/29,6:58,111.9,12:07:45,35.8,17:17,248.3
2022/1/30,6:58,111.6,12:07:56,36,17:19,248.6
2022/1/31,6:57,111.2,12:08:05,36.3,17:20,249
2022/2/1,6:56,110.8,12:08:14,36.6,17:21,249.3
2022/2/2,6:55,110.5,12:08:22,36.9,17:22,249.7
2022/2/3,6:55,110.1,12:08:29,37.2,17:23,250
2022/2/4,6:54,109.7,12:08:35,37.5,17:24,250.4
2022/2/5,6:53,109.4,12:08:41,37.8,17:25,250.8
2022/2/6,6:52,109,12:08:45,38.1,17:26,251.2
2022/2/7,6:51,108.6,12:08:49,38.4,17:27,251.6
2022/2/8,6:50,108.2,12:08:52,38.7,17:28,252
2022/2/9,6:49,107.8,12:08:54,39,17:29,252.4
2022/2/10,6:48,107.4,12:08:55,39.3,17:30,252.8
2022/2/11,6:47,107,12:08:56,39.7,17:31,253.2
2022/2/12,6:46,106.6,12:08:56,40,17:32,253.6
2022/2/13,6:45,106.1,12:08:55,40.3,17:33,254
2022/2/14,6:44,105.7,12:08:53,40.7,17:34,254.5
2022/2/15,6:43,105.3,12:08:51,41,17:35,254.9
2022/2/16,6:42,104.9,12:08:47,41.3,17:36,255.3
2022/2/17,6:41,104.4,12:08:43,41.7,17:37,255.8
2022/2/18,6:39,104,12:08:39,42,17:38,256.2
2022/2/19,6:38,103.6,12:08:34,42.4,17:39,256.7
2022/2/20,6:37,103.1,12:08:28,42.8,17:40,257.1
2022/2/21,6:36,102.7,12:08:21,43.1,17:41,257.6
2022/2/22,6:35,102.2,12:08:14,43.5,17:42,258
2022/2/23,6:33,101.7,12:08:06,43.8,17:43,258.5
2022/2/24,6:32,101.3,12:07:58,44.2,17:44,258.9
2022/2/25,6:31,100.8,12:07:49,44.6,17:45,259.4
2022/2/26,6:30,100.4,12:07:39,45,17:46,259.9
2022/2/27,6:28,99.9,12:07:29,45.3,17:47,260.3
2022/2/28,6:27,99.4,12:07:18,45.7,17:48,260.8
2022/3/1,6:26,99,12:07:07,46.1,17:49,261.3
2022/3/2,6:24,98.5,12:06:55,46.5,17:50,261.7
2022/3/3,6:23,98,12:06:43,46.8,17:51,262.2
2022/3/4,6:22,97.5,12:06:31,47.2,17:52,262.7
2022/3/5,6:20,97.1,12:06:18,47.6,17:53,263.2
2022/3/6,6:19,96.6,12:06:04,48,17:54,263.7
2022/3/7,6:18,96.1,12:05:50,48.4,17:55,264.1
2022/3/8,6:16,95.6,12:05:36,48.8,17:56,264.6
2022/3/9,6:15,95.1,12:05:21,49.2,17:56,265.1
2022/3/10,6:13,94.6,12:05:06,49.6,17:57,265.6
2022/3/11,6:12,94.2,12:04:50,50,17:58,266.1
2022/3/12,6:11,93.7,12:04:35,50.3,17:59,266.6
2022/3/13,6:09,93.2,12:04:18,50.7,18:00,267.1
2022/3/14,6:08,92.7,12:04:02,51.1,18:01,267.6
2022/3/15,6:06,92.2,12:03:45,51.5,18:02,268
2022/3/16,6:05,91.7,12:03:28,51.9,18:03,268.5
2022/3/17,6:03,91.2,12:03:11,52.3,18:04,269
2022/3/18,6:02,90.7,12:02:54,52.7,18:04,269.5
2022/3/19,6:01,90.2,12:02:36,53.1,18:05,270
2022/3/20,5:59,89.8,12:02:19,53.5,18:06,270.5
2022/3/21,5:58,89.3,12:02:01,53.9,18:07,271
2022/3/22,5:56,88.8,12:01:43,54.3,18:08,271.5
2022/3/23,5:55,88.3,12:01:25,54.7,18:09,272
2022/3/24,5:53,87.8,12:01:07,55.1,18:10,272.5
2022/3/25,5:52,87.3,12:00:49,55.5,18:10,272.9
2022/3/26,5:50,86.8,12:00:31,55.9,18:11,273.4
2022/3/27,5:49,86.3,12:00:13,56.3,18:12,273.9
2022/3/28,5:47,85.8,11:59:55,56.6,18:13,274.4
2022/3/29,5:46,85.4,11:59:37,57,18:14,274.9
2022/3/30,5:44,84.9,11:59:19,57.4,18:15,275.4
2022/3/31,5:43,84.4,11:59:01,57.8,18:16,275.9
2022/4/1,5:42,83.9,11:58:43,58.2,18:16,276.3
2022/4/2,5:40,83.4,11:58:25,58.6,18:17,276.8
2022/4/3,5:39,83,11:58:08,59,18:18,277.3
2022/4/4,5:37,82.5,11:57:50,59.4,18:19,277.8
2022/4/5,5:36,82,11:57:33,59.7,18:20,278.2
2022/4/6,5:34,81.5,11:57:16,60.1,18:21,278.7
2022/4/7,5:33,81.1,11:56:59,60.5,18:22,279.2
2022/4/8,5:32,80.6,11:56:42,60.9,18:22,279.7
2022/4/9,5:30,80.1,11:56:26,61.2,18:23,280.1
2022/4/10,5:29,79.7,11:56:10,61.6,18:24,280.6
2022/4/11,5:27,79.2,11:55:54,62,18:25,281
2022/4/12,5:26,78.7,11:55:38,62.3,18:26,281.5
2022/4/13,5:25,78.3,11:55:23,62.7,18:27,282
2022/4/14,5:23,77.8,11:55:07,63.1,18:28,282.4
2022/4/15,5:22,77.4,11:54:53,63.4,18:28,282.9
2022/4/16,5:21,76.9,11:54:38,63.8,18:29,283.3
2022/4/17,5:19,76.5,11:54:24,64.1,18:30,283.8
2022/4/18,5:18,76,11:54:10,64.5,18:31,284.2
2022/4/19,5:17,75.6,11:53:57,64.8,18:32,284.6
2022/4/20,5:15,75.2,11:53:44,65.2,18:33,285.1
2022/4/21,5:14,74.7,11:53:32,65.5,18:34,285.5
2022/4/22,5:13,74.3,11:53:20,65.9,18:34,285.9
2022/4/23,5:12,73.9,11:53:08,66.2,18:35,286.3
2022/4/24,5:10,73.5,11:52:57,66.5,18:36,286.8
2022/4/25,5:09,73.1,11:52:47,66.9,18:37,287.2
2022/4/26,5:08,72.7,11:52:36,67.2,18:38,287.6
2022/4/27,5:07,72.2,11:52:27,67.5,18:39,288
2022/4/28,5:06,71.8,11:52:18,67.8,18:40,288.4
2022/4/29,5:04,71.4,11:52:09,68.1,18:40,288.8
2022/4/30,5:03,71,11:52:01,68.4,18:41,289.2
2022/5/1,5:02,70.7,11:51:54,68.7,18:42,289.6
2022/5/2,5:01,70.3,11:51:47,69,18:43,289.9
2022/5/3,5:00,69.9,11:51:40,69.3,18:44,290.3
2022/5/4,4:59,69.5,11:51:35,69.6,18:45,290.7
2022/5/5,4:58,69.2,11:51:29,69.9,18:46,291.1
2022/5/6,4:57,68.8,11:51:25,70.2,18:46,291.4
2022/5/7,4:56,68.4,11:51:20,70.5,18:47,291.8
2022/5/8,4:55,68.1,11:51:17,70.8,18:48,292.1
2022/5/9,4:54,67.7,11:51:14,71,18:49,292.5
2022/5/10,4:53,67.4,11:51:11,71.3,18:50,292.8
2022/5/11,4:52,67.1,11:51:09,71.6,18:51,293.1
2022/5/12,4:51,66.7,11:51:07,71.8,18:52,293.5
2022/5/13,4:50,66.4,11:51:07,72.1,18:52,293.8
2022/5/14,4:49,66.1,11:51:06,72.3,18:53,294.1
2022/5/15,4:49,65.8,11:51:06,72.5,18:54,294.4
2022/5/16,4:48,65.5,11:51:07,72.8,18:55,294.7
2022/5/17,4:47,65.2,11:51:09,73,18:56,295
2022/5/18,4:46,64.9,11:51:10,73.2,18:56,295.3
2022/5/19,4:46,64.6,11:51:13,73.4,18:57,295.6
2022/5/20,4:45,64.3,11:51:16,73.7,18:58,295.8
2022/5/21,4:44,64.1,11:51:20,73.9,18:59,296.1
2022/5/22,4:44,63.8,11:51:24,74.1,19:00,296.3
2022/5/23,4:43,63.5,11:51:28,74.3,19:00,296.6
2022/5/24,4:42,63.3,11:51:34,74.4,19:01,296.8
2022/5/25,4:42,63.1,11:51:39,74.6,19:02,297.1
2022/5/26,4:41,62.8,11:51:46,74.8,19:03,297.3
2022/5/27,4:41,62.6,11:51:52,75,19:03,297.5
2022/5/28,4:40,62.4,11:52:00,75.1,19:04,297.7
2022/5/29,4:40,62.2,11:52:07,75.3,19:05,297.9
2022/5/30,4:39,62,11:52:15,75.5,19:05,298.1
2022/5/31,4:39,61.8,11:52:24,75.6,19:06,298.3
2022/6/1,4:39,61.6,11:52:33,75.7,19:07,298.5
2022/6/2,4:38,61.4,11:52:42,75.9,19:07,298.7
2022/6/3,4:38,61.3,11:52:52,76,19:08,298.8
2022/6/4,4:38,61.1,11:53:02,76.1,19:09,299
2022/6/5,4:38,60.9,11:53:13,76.2,19:09,299.1
2022/6/6,4:37,60.8,11:53:23,76.3,19:10,299.3
2022/6/7,4:37,60.7,11:53:35,76.4,19:10,299.4
2022/6/8,4:37,60.5,11:53:46,76.5,19:11,299.5
2022/6/9,4:37,60.4,11:53:57,76.6,19:11,299.6
2022/6/10,4:37,60.3,11:54:09,76.7,19:12,299.8
2022/6/11,4:37,60.2,11:54:21,76.8,19:12,299.8
2022/6/12,4:37,60.1,11:54:33,76.8,19:13,299.9
2022/6/13,4:37,60,11:54:46,76.9,19:13,300
2022/6/14,4:37,60,11:54:58,77,19:14,300.1
2022/6/15,4:37,59.9,11:55:11,77,19:14,300.1
2022/6/16,4:37,59.8,11:55:24,77,19:14,300.2
2022/6/17,4:37,59.8,11:55:37,77.1,19:15,300.2
2022/6/18,4:37,59.8,11:55:49,77.1,19:15,300.3
2022/6/19,4:37,59.7,11:56:02,77.1,19:15,300.3
2022/6/20,4:37,59.7,11:56:16,77.1,19:15,300.3
2022/6/21,4:37,59.7,11:56:29,77.1,19:16,300.3
2022/6/22,4:38,59.7,11:56:42,77.1,19:16,300.3
2022/6/23,4:38,59.7,11:56:55,77.1,19:16,300.3
2022/6/24,4:38,59.7,11:57:08,77.1,19:16,300.3
2022/6/25,4:38,59.8,11:57:21,77.1,19:16,300.2
2022/6/26,4:39,59.8,11:57:33,77.1,19:16,300.2
2022/6/27,4:39,59.8,11:57:46,77,19:16,300.1
2022/6/28,4:39,59.9,11:57:59,77,19:17,300.1
2022/6/29,4:40,60,11:58:11,76.9,19:17,300
2022/6/30,4:40,60,11:58:23,76.9,19:17,299.9
2022/7/1,4:41,60.1,11:58:35,76.8,19:16,299.8
2022/7/2,4:41,60.2,11:58:46,76.7,19:16,299.7
2022/7/3,4:41,60.3,11:58:58,76.7,19:16,299.6
2022/7/4,4:42,60.4,11:59:09,76.6,19:16,299.5
2022/7/5,4:42,60.5,11:59:19,76.5,19:16,299.4
2022/7/6,4:43,60.6,11:59:30,76.4,19:16,299.3
2022/7/7,4:44,60.8,11:59:40,76.3,19:16,299.1
2022/7/8,4:44,60.9,11:59:49,76.2,19:15,299
2022/7/9,4:45,61.1,11:59:58,76.1,19:15,298.8
2022/7/10,4:45,61.2,12:00:07,75.9,19:15,298.7
2022/7/11,4:46,61.4,12:00:15,75.8,19:14,298.5
2022/7/12,4:46,61.6,12:00:23,75.7,19:14,298.3
2022/7/13,4:47,61.7,12:00:30,75.5,19:14,298.1
2022/7/14,4:48,61.9,12:00:37,75.4,19:13,297.9
2022/7/15,4:48,62.1,12:00:43,75.2,19:13,297.7
2022/7/16,4:49,62.3,12:00:49,75.1,19:12,297.5
2022/7/17,4:50,62.6,12:00:54,74.9,19:12,297.3
2022/7/18,4:50,62.8,12:00:59,74.7,19:11,297.1
2022/7/19,4:51,63,12:01:04,74.6,19:11,296.9
2022/7/20,4:52,63.2,12:01:07,74.4,19:10,296.6
2022/7/21,4:53,63.5,12:01:11,74.2,19:09,296.4
2022/7/22,4:53,63.7,12:01:13,74,19:09,296.1
2022/7/23,4:54,64,12:01:15,73.8,19:08,295.8
2022/7/24,4:55,64.3,12:01:17,73.6,19:07,295.6
2022/7/25,4:56,64.5,12:01:18,73.4,19:07,295.3
2022/7/26,4:56,64.8,12:01:18,73.2,19:06,295
2022/7/27,4:57,65.1,12:01:18,72.9,19:05,294.7
2022/7/28,4:58,65.4,12:01:17,72.7,19:04,294.4
2022/7/29,4:59,65.7,12:01:16,72.5,19:03,294.1
2022/7/30,4:59,66,12:01:14,72.2,19:03,293.8
2022/7/31,5:00,66.3,12:01:12,72,19:02,293.5
2022/8/1,5:01,66.6,12:01:08,71.7,19:01,293.2
2022/8/2,5:02,67,12:01:05,71.5,19:00,292.9
2022/8/3,5:03,67.3,12:01:00,71.2,18:59,292.5
2022/8/4,5:03,67.6,12:00:55,71,18:58,292.2
2022/8/5,5:04,68,12:00:49,70.7,18:57,291.8
2022/8/6,5:05,68.3,12:00:43,70.4,18:56,291.5
2022/8/7,5:06,68.7,12:00:36,70.1,18:55,291.1
2022/8/8,5:07,69,12:00:28,69.9,18:54,290.8
2022/8/9,5:07,69.4,12:00:20,69.6,18:53,290.4
2022/8/10,5:08,69.8,12:00:12,69.3,18:52,290
2022/8/11,5:09,70.1,12:00:02,69,18:51,289.7
2022/8/12,5:10,70.5,11:59:52,68.7,18:49,289.3
2022/8/13,5:11,70.9,11:59:42,68.4,18:48,288.9
2022/8/14,5:11,71.3,11:59:31,68.1,18:47,288.5
2022/8/15,5:12,71.7,11:59:19,67.8,18:46,288.1
2022/8/16,5:13,72.1,11:59:07,67.5,18:45,287.7
2022/8/17,5:14,72.5,11:58:55,67.2,18:43,287.3
2022/8/18,5:15,72.9,11:58:42,66.8,18:42,286.9
2022/8/19,5:15,73.3,11:58:28,66.5,18:41,286.5
2022/8/20,5:16,73.7,11:58:14,66.2,18:40,286.1
2022/8/21,5:17,74.1,11:58:00,65.9,18:38,285.7
2022/8/22,5:18,74.5,11:57:45,65.5,18:37,285.2
2022/8/23,5:19,74.9,11:57:29,65.2,18:36,284.8
2022/8/24,5:19,75.4,11:57:14,64.8,18:34,284.4
2022/8/25,5:20,75.8,11:56:57,64.5,18:33,284
2022/8/26,5:21,76.2,11:56:41,64.2,18:32,283.5
2022/8/27,5:22,76.7,11:56:24,63.8,18:30,283.1
2022/8/28,5:23,77.1,11:56:06,63.5,18:29,282.6
2022/8/29,5:23,77.6,11:55:49,63.1,18:28,282.2
2022/8/30,5:24,78,11:55:30,62.7,18:26,281.8
2022/8/31,5:25,78.5,11:55:12,62.4,18:25,281.3
2022/9/1,5:26,78.9,11:54:53,62,18:23,280.9
2022/9/2,5:27,79.4,11:54:34,61.7,18:22,280.4
2022/9/3,5:27,79.8,11:54:15,61.3,18:21,279.9
2022/9/4,5:28,80.3,11:53:55,60.9,18:19,279.5
2022/9/5,5:29,80.7,11:53:35,60.6,18:18,279
2022/9/6,5:30,81.2,11:53:15,60.2,18:16,278.6
2022/9/7,5:30,81.7,11:52:54,59.8,18:15,278.1
2022/9/8,5:31,82.1,11:52:34,59.4,18:13,277.6
2022/9/9,5:32,82.6,11:52:13,59.1,18:12,277.2
2022/9/10,5:33,83.1,11:51:52,58.7,18:10,276.7
2022/9/11,5:34,83.5,11:51:31,58.3,18:09,276.2
2022/9/12,5:34,84,11:51:10,57.9,18:07,275.7
2022/9/13,5:35,84.5,11:50:48,57.5,18:06,275.3
2022/9/14,5:36,85,11:50:27,57.2,18:04,274.8
2022/9/15,5:37,85.4,11:50:06,56.8,18:03,274.3
2022/9/16,5:37,85.9,11:49:44,56.4,18:01,273.8
2022/9/17,5:38,86.4,11:49:23,56,18:00,273.4
2022/9/18,5:39,86.9,11:49:01,55.6,17:58,272.9
2022/9/19,5:40,87.4,11:48:40,55.2,17:57,272.4
2022/9/20,5:41,87.8,11:48:18,54.8,17:55,271.9
2022/9/21,5:41,88.3,11:47:57,54.5,17:54,271.4
2022/9/22,5:42,88.8,11:47:36,54.1,17:52,270.9
2022/9/23,5:43,89.3,11:47:15,53.7,17:51,270.5
2022/9/24,5:44,89.8,11:46:54,53.3,17:50,270
2022/9/25,5:45,90.3,11:46:33,52.9,17:48,269.5
2022/9/26,5:45,90.7,11:46:12,52.5,17:47,269
2022/9/27,5:46,91.2,11:45:52,52.1,17:45,268.5
2022/9/28,5:47,91.7,11:45:32,51.7,17:44,268.1
2022/9/29,5:48,92.2,11:45:12,51.3,17:42,267.6
2022/9/30,5:49,92.7,11:44:52,51,17:41,267.1
2022/10/1,5:49,93.2,11:44:32,50.6,17:39,266.6
2022/10/2,5:50,93.6,11:44:13,50.2,17:38,266.1
2022/10/3,5:51,94.1,11:43:54,49.8,17:36,265.6
2022/10/4,5:52,94.6,11:43:35,49.4,17:35,265.2
2022/10/5,5:53,95.1,11:43:17,49,17:33,264.7
2022/10/6,5:53,95.6,11:42:59,48.6,17:32,264.2
2022/10/7,5:54,96,11:42:41,48.3,17:31,263.7
2022/10/8,5:55,96.5,11:42:24,47.9,17:29,263.3
2022/10/9,5:56,97,11:42:07,47.5,17:28,262.8
2022/10/10,5:57,97.5,11:41:51,47.1,17:26,262.3
2022/10/11,5:58,97.9,11:41:35,46.7,17:25,261.9
2022/10/12,5:59,98.4,11:41:19,46.4,17:24,261.4
2022/10/13,5:59,98.9,11:41:04,46,17:22,260.9
2022/10/14,6:00,99.3,11:40:50,45.6,17:21,260.5
2022/10/15,6:01,99.8,11:40:36,45.2,17:19,260
2022/10/16,6:02,100.2,11:40:23,44.9,17:18,259.5
2022/10/17,6:03,100.7,11:40:10,44.5,17:17,259.1
2022/10/18,6:04,101.2,11:39:58,44.1,17:16,258.6
2022/10/19,6:05,101.6,11:39:46,43.8,17:14,258.2
2022/10/20,6:06,102.1,11:39:36,43.4,17:13,257.7
2022/10/21,6:07,102.5,11:39:25,43.1,17:12,257.3
2022/10/22,6:08,103,11:39:16,42.7,17:10,256.8
2022/10/23,6:08,103.4,11:39:07,42.4,17:09,256.4
2022/10/24,6:09,103.8,11:38:59,42,17:08,256
2022/10/25,6:10,104.3,11:38:52,41.7,17:07,255.5
2022/10/26,6:11,104.7,11:38:45,41.3,17:06,255.1
2022/10/27,6:12,105.1,11:38:39,41,17:05,254.7
2022/10/28,6:13,105.6,11:38:34,40.6,17:03,254.3
2022/10/29,6:14,106,11:38:29,40.3,17:02,253.8
2022/10/30,6:15,106.4,11:38:25,40,17:01,253.4
2022/10/31,6:16,106.8,11:38:22,39.7,17:00,253
2022/11/1,6:17,107.2,11:38:20,39.3,16:59,252.6
2022/11/2,6:18,107.6,11:38:19,39,16:58,252.2
2022/11/3,6:19,108,11:38:18,38.7,16:57,251.8
2022/11/4,6:20,108.4,11:38:18,38.4,16:56,251.4
2022/11/5,6:21,108.8,11:38:19,38.1,16:55,251
2022/11/6,6:22,109.2,11:38:21,37.8,16:54,250.7
2022/11/7,6:23,109.6,11:38:23,37.5,16:53,250.3
2022/11/8,6:24,109.9,11:38:27,37.2,16:52,249.9
2022/11/9,6:25,110.3,11:38:31,36.9,16:52,249.5
2022/11/10,6:26,110.7,11:38:36,36.6,16:51,249.2
2022/11/11,6:27,111,11:38:42,36.3,16:50,248.8
2022/11/12,6:28,111.4,11:38:49,36.1,16:49,248.5
2022/11/13,6:29,111.7,11:38:57,35.8,16:48,248.2
2022/11/14,6:30,112,11:39:05,35.5,16:48,247.8
2022/11/15,6:31,112.4,11:39:14,35.3,16:47,247.5
2022/11/16,6:32,112.7,11:39:25,35,16:46,247.2
2022/11/17,6:33,113,11:39:36,34.8,16:46,246.9
2022/11/18,6:34,113.3,11:39:48,34.5,16:45,246.5
2022/11/19,6:35,113.6,11:40:01,34.3,16:44,246.2
2022/11/20,6:36,113.9,11:40:14,34.1,16:44,246
2022/11/21,6:37,114.2,11:40:29,33.8,16:43,245.7
2022/11/22,6:38,114.5,11:40:44,33.6,16:43,245.4
2022/11/23,6:39,114.8,11:41:00,33.4,16:42,245.1
2022/11/24,6:40,115,11:41:17,33.2,16:42,244.9
2022/11/25,6:41,115.3,11:41:35,33,16:42,244.6
2022/11/26,6:42,115.5,11:41:53,32.8,16:41,244.4
2022/11/27,6:43,115.8,11:42:12,32.6,16:41,244.1
2022/11/28,6:44,116,11:42:32,32.4,16:41,243.9
2022/11/29,6:45,116.2,11:42:53,32.3,16:40,243.7
2022/11/30,6:46,116.5,11:43:14,32.1,16:40,243.5
2022/12/1,6:47,116.7,11:43:36,31.9,16:40,243.2
2022/12/2,6:48,116.9,11:43:58,31.8,16:40,243.1
2022/12/3,6:49,117.1,11:44:22,31.6,16:40,242.9
2022/12/4,6:50,117.2,11:44:45,31.5,16:40,242.7
2022/12/5,6:51,117.4,11:45:09,31.4,16:40,242.5
2022/12/6,6:51,117.6,11:45:34,31.2,16:40,242.4
2022/12/7,6:52,117.7,11:46:00,31.1,16:40,242.2
2022/12/8,6:53,117.9,11:46:25,31,16:40,242.1
2022/12/9,6:54,118,11:46:52,30.9,16:40,241.9
2022/12/10,6:55,118.1,11:47:19,30.8,16:40,241.8
2022/12/11,6:55,118.2,11:47:46,30.7,16:40,241.7
2022/12/12,6:56,118.4,11:48:13,30.7,16:40,241.6
2022/12/13,6:57,118.4,11:48:41,30.6,16:40,241.5
2022/12/14,6:58,118.5,11:49:10,30.5,16:41,241.4
2022/12/15,6:58,118.6,11:49:38,30.5,16:41,241.4
2022/12/16,6:59,118.7,11:50:07,30.4,16:41,241.3
2022/12/17,7:00,118.7,11:50:36,30.4,16:42,241.2
2022/12/18,7:00,118.8,11:51:06,30.3,16:42,241.2
2022/12/19,7:01,118.8,11:51:35,30.3,16:42,241.2
2022/12/20,7:01,118.8,11:52:05,30.3,16:43,241.2
2022/12/21,7:02,118.9,11:52:35,30.3,16:43,241.1
2022/12/22,7:02,118.9,11:53:05,30.3,16:44,241.1
2022/12/23,7:03,118.9,11:53:35,30.3,16:44,241.2
2022/12/24,7:03,118.8,11:54:05,30.3,16:45,241.2
2022/12/25,7:04,118.8,11:54:35,30.3,16:45,241.2
2022/12/26,7:04,118.8,11:55:04,30.4,16:46,241.2
2022/12/27,7:05,118.7,11:55:34,30.4,16:47,241.3
2022/12/28,7:05,118.7,11:56:04,30.4,16:47,241.4
2022/12/29,7:05,118.6,11:56:33,30.5,16:48,241.4
2022/12/30,7:05,118.5,11:57:02,30.5,16:49,241.5
2022/12/31,7:06,118.4,11:57:31,30.6,16:49,241.6
